LAT,LON,PARAMETER,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
14.75,-117.75,ALLSKY_SFC_SW_DWN,4.58,5.31,6.18,6.29,6.32,6.35,6.16,5.96,5.91,5.48,4.61,4.18,5.61
15.25,-117.75,ALLSKY_SFC_SW_DWN,4.51,5.23,6.04,6.2,6.25,6.21,6.34,6.17,6.01,5.46,4.56,4.08,5.59
15.75,-117.75,ALLSKY_SFC_SW_DWN,4.51,5.23,6.04,6.2,6.25,6.21,6.34,6.17,6.01,5.46,4.56,4.08,5.59
16.25,-117.75,ALLSKY_SFC_SW_DWN,4.42,5.17,5.9,6.13,6.17,6.09,6.41,6.24,6.04,5.4,4.48,3.99,5.54
16.75,-117.75,ALLSKY_SFC_SW_DWN,4.42,5.17,5.9,6.13,6.17,6.09,6.41,6.24,6.04,5.4,4.48,3.99,5.54
17.25,-117.75,ALLSKY_SFC_SW_DWN,4.39,5.04,5.75,6.16,6.22,6.03,6.41,6.2,5.96,5.33,4.47,3.91,5.49
17.75,-117.75,ALLSKY_SFC_SW_DWN,4.39,5.04,5.75,6.16,6.22,6.03,6.41,6.2,5.96,5.33,4.47,3.91,5.49
18.25,-117.75,ALLSKY_SFC_SW_DWN,4.33,4.98,5.74,6.24,6.3,6.04,6.32,6.15,5.84,5.26,4.45,3.83,5.46
18.75,-117.75,ALLSKY_SFC_SW_DWN,4.33,4.98,5.74,6.24,6.3,6.04,6.32,6.15,5.84,5.26,4.45,3.83,5.46
19.25,-117.75,ALLSKY_SFC_SW_DWN,4.27,4.94,5.68,6.26,6.25,6.08,6.17,6.13,5.7,5.16,4.36,3.71,5.39
19.75,-117.75,ALLSKY_SFC_SW_DWN,4.27,4.94,5.68,6.26,6.25,6.08,6.17,6.13,5.7,5.16,4.36,3.71,5.39
20.25,-117.75,ALLSKY_SFC_SW_DWN,4.19,4.91,5.64,6.23,6.24,6.13,6.08,6.04,5.61,5.12,4.3,3.63,5.34
20.75,-117.75,ALLSKY_SFC_SW_DWN,4.19,4.91,5.64,6.23,6.24,6.13,6.08,6.04,5.61,5.12,4.3,3.63,5.34
21.25,-117.75,ALLSKY_SFC_SW_DWN,4.15,4.9,5.67,6.26,6.25,6.15,6.04,5.96,5.55,5.06,4.29,3.62,5.33
21.75,-117.75,ALLSKY_SFC_SW_DWN,4.15,4.9,5.67,6.26,6.25,6.15,6.04,5.96,5.55,5.06,4.29,3.62,5.33
22.25,-117.75,ALLSKY_SFC_SW_DWN,4.13,4.9,5.67,6.33,6.28,6.14,6,5.9,5.5,5.02,4.28,3.64,5.32
22.75,-117.75,ALLSKY_SFC_SW_DWN,4.13,4.9,5.67,6.33,6.28,6.14,6,5.9,5.5,5.02,4.28,3.64,5.32
23.25,-117.75,ALLSKY_SFC_SW_DWN,4.13,4.93,5.69,6.37,6.32,6.11,6.04,5.94,5.5,4.95,4.23,3.64,5.32
23.75,-117.75,ALLSKY_SFC_SW_DWN,4.13,4.93,5.69,6.37,6.32,6.11,6.04,5.94,5.5,4.95,4.23,3.64,5.32
24.25,-117.75,ALLSKY_SFC_SW_DWN,4.07,4.89,5.7,6.4,6.32,6.15,6.08,5.97,5.49,4.86,4.21,3.66,5.32
24.75,-117.75,ALLSKY_SFC_SW_DWN,4.07,4.89,5.7,6.4,6.32,6.15,6.08,5.97,5.49,4.86,4.21,3.66,5.32
25.25,-117.75,ALLSKY_SFC_SW_DWN,4.03,4.82,5.71,6.48,6.31,6.14,6.12,5.99,5.48,4.81,4.2,3.66,5.31
25.75,-117.75,ALLSKY_SFC_SW_DWN,4.03,4.82,5.71,6.48,6.31,6.14,6.12,5.99,5.48,4.81,4.2,3.66,5.31
