Estado,Superficie km2
Aguascalientes,5616
Baja California,71450
Baja California Sur,73909
Campeche,57507
Chiapas,73311
Chihuahua,247455
Ciudad de México,1495
Coahuila de Zaragoza,151562
Colima,5627
Durango,123317
Estado de México,22351
Guanajuato,30608
Guerrero,63596
Hidalgo,20813
Jalisco,78588
Michoacán,58599
Morelos,4879
Nayarit,27857
Nuevo León,64156
Oaxaca,93757
Puebla,34306
Querétaro,11699
Quintana Roo,44705
San Luis Potosí,61137
Sinaloa,58200
Sonora,179355
Tabasco,24731
Tamaulipas,80249
Tlaxcala,4016
Veracruz,71826
Yucatán,39524
Zacatecas,75284
