-BEGIN HEADER-,,,,,,,,,,,,,,,
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Climatologies ,,,,,,,,,,,,,,,
22-year Additional Solar Parameter Monthly & Annual Climatologies (July 1983 - June 2005), 30-year Meteorological and Solar Monthly & Annual Climatologies (January 1984 - December 2013) ,,,,,,,,,,,,,,
Location: Global ,,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) ,,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,,
LAT,LON,PARAMETER,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
14.750000,-117.750000,ALLSKY_SFC_SW_DWN,4.58,5.31,6.18,6.29,6.32,6.35,6.16,5.96,5.91,5.48,4.61,4.18,5.61
15.250000,-117.750000,ALLSKY_SFC_SW_DWN,4.51,5.23,6.04,6.2,6.25,6.21,6.34,6.17,6.01,5.46,4.56,4.08,5.59
15.750000,-117.750000,ALLSKY_SFC_SW_DWN,4.51,5.23,6.04,6.2,6.25,6.21,6.34,6.17,6.01,5.46,4.56,4.08,5.59
16.250000,-117.750000,ALLSKY_SFC_SW_DWN,4.42,5.17,5.9,6.13,6.17,6.09,6.41,6.24,6.04,5.4,4.48,3.99,5.54
16.750000,-117.750000,ALLSKY_SFC_SW_DWN,4.42,5.17,5.9,6.13,6.17,6.09,6.41,6.24,6.04,5.4,4.48,3.99,5.54
17.250000,-117.750000,ALLSKY_SFC_SW_DWN,4.39,5.04,5.75,6.16,6.22,6.03,6.41,6.2,5.96,5.33,4.47,3.91,5.49
17.750000,-117.750000,ALLSKY_SFC_SW_DWN,4.39,5.04,5.75,6.16,6.22,6.03,6.41,6.2,5.96,5.33,4.47,3.91,5.49
18.250000,-117.750000,ALLSKY_SFC_SW_DWN,4.33,4.98,5.74,6.24,6.3,6.04,6.32,6.15,5.84,5.26,4.45,3.83,5.46
18.750000,-117.750000,ALLSKY_SFC_SW_DWN,4.33,4.98,5.74,6.24,6.3,6.04,6.32,6.15,5.84,5.26,4.45,3.83,5.46
19.250000,-117.750000,ALLSKY_SFC_SW_DWN,4.27,4.94,5.68,6.26,6.25,6.08,6.17,6.13,5.7,5.16,4.36,3.71,5.39
19.750000,-117.750000,ALLSKY_SFC_SW_DWN,4.27,4.94,5.68,6.26,6.25,6.08,6.17,6.13,5.7,5.16,4.36,3.71,5.39
20.250000,-117.750000,ALLSKY_SFC_SW_DWN,4.19,4.91,5.64,6.23,6.24,6.13,6.08,6.04,5.61,5.12,4.3,3.63,5.34
20.750000,-117.750000,ALLSKY_SFC_SW_DWN,4.19,4.91,5.64,6.23,6.24,6.13,6.08,6.04,5.61,5.12,4.3,3.63,5.34
21.250000,-117.750000,ALLSKY_SFC_SW_DWN,4.15,4.9,5.67,6.26,6.25,6.15,6.04,5.96,5.55,5.06,4.29,3.62,5.33
21.750000,-117.750000,ALLSKY_SFC_SW_DWN,4.15,4.9,5.67,6.26,6.25,6.15,6.04,5.96,5.55,5.06,4.29,3.62,5.33
22.250000,-117.750000,ALLSKY_SFC_SW_DWN,4.13,4.9,5.67,6.33,6.28,6.14,6,5.9,5.5,5.02,4.28,3.64,5.32
22.750000,-117.750000,ALLSKY_SFC_SW_DWN,4.13,4.9,5.67,6.33,6.28,6.14,6,5.9,5.5,5.02,4.28,3.64,5.32
23.250000,-117.750000,ALLSKY_SFC_SW_DWN,4.13,4.93,5.69,6.37,6.32,6.11,6.04,5.94,5.5,4.95,4.23,3.64,5.32
23.750000,-117.750000,ALLSKY_SFC_SW_DWN,4.13,4.93,5.69,6.37,6.32,6.11,6.04,5.94,5.5,4.95,4.23,3.64,5.32
24.250000,-117.750000,ALLSKY_SFC_SW_DWN,4.07,4.89,5.7,6.4,6.32,6.15,6.08,5.97,5.49,4.86,4.21,3.66,5.32
24.750000,-117.750000,ALLSKY_SFC_SW_DWN,4.07,4.89,5.7,6.4,6.32,6.15,6.08,5.97,5.49,4.86,4.21,3.66,5.32
25.250000,-117.750000,ALLSKY_SFC_SW_DWN,4.03,4.82,5.71,6.48,6.31,6.14,6.12,5.99,5.48,4.81,4.2,3.66,5.31
25.750000,-117.750000,ALLSKY_SFC_SW_DWN,4.03,4.82,5.71,6.48,6.31,6.14,6.12,5.99,5.48,4.81,4.2,3.66,5.31
26.250000,-117.750000,ALLSKY_SFC_SW_DWN,3.95,4.73,5.66,6.57,6.3,6.13,6.05,5.94,5.48,4.76,4.15,3.64,5.28
26.750000,-117.750000,ALLSKY_SFC_SW_DWN,3.95,4.73,5.66,6.57,6.3,6.13,6.05,5.94,5.48,4.76,4.15,3.64,5.28
27.250000,-117.750000,ALLSKY_SFC_SW_DWN,3.85,4.63,5.63,6.65,6.33,6.13,6,5.87,5.45,4.7,4.1,3.58,5.24
27.750000,-117.750000,ALLSKY_SFC_SW_DWN,3.85,4.63,5.63,6.65,6.33,6.13,6,5.87,5.45,4.7,4.1,3.58,5.24
28.250000,-117.750000,ALLSKY_SFC_SW_DWN,3.81,4.6,5.67,6.73,6.54,6.3,6.08,5.99,5.59,4.71,4.09,3.51,5.3
28.750000,-117.750000,ALLSKY_SFC_SW_DWN,3.81,4.6,5.67,6.73,6.54,6.3,6.08,5.99,5.59,4.71,4.09,3.51,5.3
29.250000,-117.750000,ALLSKY_SFC_SW_DWN,3.65,4.43,5.42,6.48,6.15,5.85,5.8,5.6,5.37,4.47,3.93,3.36,5.04
29.750000,-117.750000,ALLSKY_SFC_SW_DWN,3.65,4.43,5.42,6.48,6.15,5.85,5.8,5.6,5.37,4.47,3.93,3.36,5.04
30.250000,-117.750000,ALLSKY_SFC_SW_DWN,3.57,4.32,5.28,6.44,6.03,5.7,5.76,5.63,5.32,4.37,3.84,3.29,4.96
30.750000,-117.750000,ALLSKY_SFC_SW_DWN,3.57,4.32,5.28,6.44,6.03,5.7,5.76,5.63,5.32,4.37,3.84,3.29,4.96
31.250000,-117.750000,ALLSKY_SFC_SW_DWN,3.47,4.21,5.24,6.4,6.09,5.71,5.86,5.79,5.3,4.28,3.75,3.22,4.94
31.750000,-117.750000,ALLSKY_SFC_SW_DWN,3.47,4.21,5.24,6.4,6.09,5.71,5.86,5.79,5.3,4.28,3.75,3.22,4.94
32.250000,-117.750000,ALLSKY_SFC_SW_DWN,3.36,4.13,5.27,6.49,6.45,6.12,6.31,6.18,5.36,4.3,3.69,3.13,5.07
32.750000,-117.750000,ALLSKY_SFC_SW_DWN,3.36,4.13,5.27,6.49,6.45,6.12,6.31,6.18,5.36,4.3,3.69,3.13,5.07
14.750000,-117.250000,ALLSKY_SFC_SW_DWN,4.58,5.31,6.18,6.29,6.32,6.35,6.16,5.96,5.91,5.48,4.61,4.18,5.61
15.250000,-117.250000,ALLSKY_SFC_SW_DWN,4.51,5.23,6.04,6.2,6.25,6.21,6.34,6.17,6.01,5.46,4.56,4.08,5.59
15.750000,-117.250000,ALLSKY_SFC_SW_DWN,4.51,5.23,6.04,6.2,6.25,6.21,6.34,6.17,6.01,5.46,4.56,4.08,5.59
16.250000,-117.250000,ALLSKY_SFC_SW_DWN,4.42,5.17,5.9,6.13,6.17,6.09,6.41,6.24,6.04,5.4,4.48,3.99,5.54
