-BEGIN HEADER-,,,,,,
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data ,,,,,,
Dates (month/day/year): 01/01/1981 through 03/31/2021 ,,,,,,
Location: Regional ,,,,,,
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na ,,,,,,
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) ,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,
Parameter(s): ,,,,,,
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) ,,,,,,
-END HEADER-,,,,,,
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN,FECHA
19.25,-99.25,1984,1,1,5.13,01/01/1984
19.25,-99.25,1984,1,2,4.5,02/01/1984
19.25,-99.25,1984,1,3,2.29,03/01/1984
19.25,-99.25,1984,1,4,3.46,04/01/1984
19.25,-99.25,1984,1,5,4.73,05/01/1984
19.25,-99.25,1984,1,6,4.73,06/01/1984
19.25,-99.25,1984,1,7,4.4,07/01/1984
19.25,-99.25,1984,1,8,4.25,08/01/1984
19.25,-99.25,1984,1,9,5.32,09/01/1984
19.25,-99.25,1984,1,10,5.01,10/01/1984
19.25,-99.25,1984,1,11,1.8,11/01/1984
19.25,-99.25,1984,1,12,5.17,12/01/1984
19.25,-99.25,1984,1,13,4.93,13/01/1984
19.25,-99.25,1984,1,14,4.99,14/01/1984
19.25,-99.25,1984,1,15,5.15,15/01/1984
19.25,-99.25,1984,1,16,5.24,16/01/1984
19.25,-99.25,1984,1,17,5.2,17/01/1984
19.25,-99.25,1984,1,18,4.63,18/01/1984
19.25,-99.25,1984,1,19,5.06,19/01/1984
19.25,-99.25,1984,1,20,5.01,20/01/1984
19.25,-99.25,1984,1,21,4.76,21/01/1984
19.25,-99.25,1984,1,22,5.04,22/01/1984
19.25,-99.25,1984,1,23,4.9,23/01/1984
19.25,-99.25,1984,1,24,4.33,24/01/1984
19.25,-99.25,1984,1,25,4.31,25/01/1984
19.25,-99.25,1984,1,26,5.37,26/01/1984
19.25,-99.25,1984,1,27,5.62,27/01/1984
19.25,-99.25,1984,1,28,5.14,28/01/1984
19.25,-99.25,1984,1,29,5.18,29/01/1984
19.25,-99.25,1984,1,30,4.45,30/01/1984
19.25,-99.25,1984,1,31,4.34,31/01/1984
19.25,-99.25,1984,2,1,4.96,01/02/1984
19.25,-99.25,1984,2,2,5.59,02/02/1984
19.25,-99.25,1984,2,3,4.87,03/02/1984
19.25,-99.25,1984,2,4,5.14,04/02/1984
19.25,-99.25,1984,2,5,4.81,05/02/1984
19.25,-99.25,1984,2,6,4.77,06/02/1984
19.25,-99.25,1984,2,7,5.28,07/02/1984
19.25,-99.25,1984,2,8,3.34,08/02/1984
19.25,-99.25,1984,2,9,3.94,09/02/1984
19.25,-99.25,1984,2,10,5.27,10/02/1984
19.25,-99.25,1984,2,11,5.94,11/02/1984
19.25,-99.25,1984,2,12,5.85,12/02/1984
19.25,-99.25,1984,2,13,6.41,13/02/1984
19.25,-99.25,1984,2,14,6.28,14/02/1984
19.25,-99.25,1984,2,15,5.68,15/02/1984
19.25,-99.25,1984,2,16,5.38,16/02/1984
19.25,-99.25,1984,2,17,5.7,17/02/1984
19.25,-99.25,1984,2,18,5.97,18/02/1984
19.25,-99.25,1984,2,19,6.06,19/02/1984
19.25,-99.25,1984,2,20,6.37,20/02/1984
19.25,-99.25,1984,2,21,6.09,21/02/1984
19.25,-99.25,1984,2,22,6.47,22/02/1984
19.25,-99.25,1984,2,23,6.81,23/02/1984
19.25,-99.25,1984,2,24,5.78,24/02/1984
19.25,-99.25,1984,2,25,6.67,25/02/1984
19.25,-99.25,1984,2,26,6.96,26/02/1984
19.25,-99.25,1984,2,27,6.26,27/02/1984
19.25,-99.25,1984,2,28,6.72,28/02/1984
19.25,-99.25,1984,2,29,6.76,29/02/1984
19.25,-99.25,1984,3,1,6.26,01/03/1984
19.25,-99.25,1984,3,2,6.49,02/03/1984
19.25,-99.25,1984,3,3,6.49,03/03/1984
19.25,-99.25,1984,3,4,6.05,04/03/1984
19.25,-99.25,1984,3,5,4.83,05/03/1984
