Estado,2018,2019,2020
Total,218083200,218929600,97107700
Aguascalientes,2855500,2911300,1302600
Baja California,10823800,10489800,4469800
Baja California Sur,2561200,2595900,1010600
Campeche,1315600,1388300,650000
Chiapas,3096400,3339700,1636100
Chihuahua,12699400,12949700,6113600
Coahuila,10601900,10920200,4512500
Colima,2025400,2058500,1021500
Distrito Federal,13432400,12910500,5860300
Durango,3237700,3383100,1572400
México,17846900,17489400,7936100
Guanajuato,12003100,12033900,5754400
Guerrero,3099300,3177000,1553100
Hidalgo,3913500,3919800,1904700
Jalisco,13476200,13851200,6502600
Michoacán,7819200,7807700,3692000
Morelos,2788300,2553200,1221400
Nayarit,1589400,1656000,725100
Nuevo León,18090000,17655400,7246900
Oaxaca,2747400,2900100,1434600
Puebla,7817000,7610500,3460500
Querétaro,5458800,5543900,2391200
Quintana Roo,5012400,5297400,2121300
San Luis Potosí,5921700,5982900,2771200
Sinaloa,7127800,7256100,2603500
Sonora,10458400,10553500,3988700
Tabasco,3292500,3336100,1601200
Tamaulipas,8941900,9100700,3752900
Tlaxcala,1774500,1625400,729400
Veracruz,10323400,10112000,4527600
Yucatán,3811500,4107800,1855000
Zacatecas,2120700,2418600,1184900
